Rang;Type de document;Prêts;Titre;Auteur
509;Bande dessinée jeunesse;804;Au coeur du maelström;Vehlmann, Fabien
511;Bande dessinée jeunesse;803;Une jolie vache [Texte imprimé];Guibert, Emmanuel
512;Livre jeunesse;801;Le théâtre de Barbapapa [Texte imprimé];Tison, Annette
513;Bande dessinée adulte;801;Astérix chez les Belges [Texte imprimé];Goscinny, René
518;Bande dessinée jeunesse;797;On revasse ? [Texte imprimé];Cauvin, Raoul
524;Livre adulte;791;Un lieu incertain [Texte imprimé];Vargas, Fred
526;Livre jeunesse;788;L'élixir de jouvence;Gilson, François
530;Bande dessinée adulte;784;Fairy Tail. 16;Mashima, Hiro
531;Livre adulte;783;Une femme fuyant l'annonce : roman;Grossman, David
535;Revue adulte;781;Rustica hebdo [texte imprimé];
543;Bande dessinée jeunesse;774;A l'école des maléfices [Texte imprimé];Gilson, François
545;Nouveauté;773;Les neuf dragons : une enquête de Harry Bosch : roman;Connelly, Michael
546;Nouveauté;772;L'homme inquiet;Mankell, Henning
548;Bande dessinée jeunesse;766;Aya de Yopougon. 6;Abouet, Marguerite
549;Bande dessinée jeunesse;765;Bienvenue au club ! [Texte imprimé];Cohen, Jacqueline
553;Bande dessinée ado;763;Fairy Tail. 6;Mashima, Hiro
554;Bande dessinée jeunesse;761;Les schtroumpfs joueurs [Texte imprimé];Parthoens, Luc
556;Livre adulte;760;La princesse des glaces [Texte imprimé] : roman;Läckberg, Camilla
565;Nouveauté;751;La tristesse du samouraï [Texte imprimé] : roman;Arbol, Victor del
569;Bande dessinée adulte;748;Le bouclier arverne [Texte imprimé];Goscinny, René
570;Bande dessinée jeunesse;748;Ballet enchanté [Texte imprimé];Gilson, François
572;Bande dessinée ado;748;Fairy Tail. 2 [Texte imprimé];Mashima, Hiro
573;Nouveauté;748;Purge;Oksanen, Sofi
577;Nouveauté;745;Faute de preuves;Coben, Harlan
580;Bande dessinée jeunesse;742;Chat académie [Texte imprimé];Davis, Jim
582;Bande dessinée ado;740;Fairy Tail. 8;Mashima, Hiro
598;Bande dessinée jeunesse;731;280 de Q.I. ! [Texte imprimé];Godi, Bernard
847;Revue adulte;612;SVM Mac [texte imprimé];
850;Livre adulte;612;La liste de mes envies;Delacourt, Grégoire
861;Livre jeunesse;607;Le chantier [Texte imprimé];Ledu, Stéphanie
871;CD jeunesse;605;Coco et le poisson Ploc [Enregistrement sonore];Du Bouchet, Paule
875;CD jeunesse;604;Comptines des animaux de la ferme [Multimédia multisupport];Prual, Yves
876;Nouveauté;604;Mémoire morte [Texte imprimé];Westlake, Donald E.
976;Livre adulte;570;Le léopard;Nesbo, Jo
977;Livre sonore jeunesse;570;Comptines pour chanter la ferme [Multimédia multisupport];Hudrisier, Cécile
980;Livre jeunesse;569;Le requin;Fuhr, Ute
986;Livre jeunesse;565;Le déjeuner de la petite ogresse [Texte imprimé];Vaugelade, Anaïs
988;Livre jeunesse;564;Okilélé [Texte imprimé];Ponti, Claude
989;Bande dessinée adulte;564;Poulet aux prunes [Texte imprimé];Satrapi, Marjane
998;Livre jeunesse;560;Mille secrets de poussins [Texte imprimé];Ponti, Claude
1000;Bande dessinée jeunesse;560;Le bouclier arverne [Texte imprimé];Goscinny, René
620;Bande dessinée ado;717;Tout est bon dans le garçon ! [Texte imprimé];Darasse
626;Livre adulte;715;Le pacte;Kepler, Lars
