Rang;Type de document;Nombre de prêts;Titre ;Auteur
2.0;Revue jeunesse;18814.0;Astrapi;
11.0;Revue pour ado;7877.0;Science & vie junior;
13.0;Revue pour adulte;7492.0;Que choisir ?;
15.0;Revue pour adulte;7033.0;L'Histoire;
29.0;Revue pour adulte;5110.0;Courrier international;
31.0;Revue jeunesse;4657.0;Wakou;
36.0;Revue jeunesse;4225.0;Toboggan;
39.0;Revue pour adulte;4090.0;Santé magazine;
41.0;Revue pour adulte;4051.0;Beaux-arts magazine;
45.0;Revue pour adulte;3765.0;Capital : l'essentiel de l'économie;
50.0;Revue pour ado;3572.0;Le Monde des ados;
56.0;Revue pour ado;3372.0;Geo ado : le plaisir d'explorer;
65.0;Revue pour adulte;2886.0;Le Particulier : la documentation pratique des particuliers;
67.0;Revue jeunesse;2852.0;Toboclic :;
71.0;Revue pour adulte;2763.0;Marie Claire idées;
78.0;Revue pour adulte;2579.0;Connaissance des arts;
91.0;Revue pour adulte;2185.0;Pour la science;
93.0;Revue pour ado;2094.0;Virgule;
96.0;Revue pour adulte;2044.0;National geographic : journal officiel de la National geographic society;
97.0;Livre jeunesse;2039.0;Max veut sauver les animaux;Saint-Mars, Dominique de
98.0;Livre jeunesse;2037.0;Le tonton de Max et Lili est en prison;Saint-Mars, Dominique de
107.0;Livre jeunesse;1910.0;Lili est stressée par la rentrée;Saint-Mars, Dominique de
113.0;Livre pour adulte;1819.0;Lili a peur de la mort;Saint-Mars, Dominique de
119.0;Bande dessinée jeunesse;1775.0;Lili se fait piéger sur internet;Saint-Mars, Dominique de
125.0;Revue pour adulte;1715.0;Der Spiegel : das deutsch Nachrichten-Magazin;
129.0;Bande dessinée jeunesse;1693.0;Drôle de cirque !;Cohen, Jacqueline
131.0;Revue pour ado;1661.0;Anime land : le magazine français de l'animation;
133.0;Revue pour adulte;1658.0;Terre sauvage;
137.0;Revue pour adulte;1643.0;Cahiers du cinéma;
144.0;Bande dessinée jeunesse;1589.0;Poux, papous et pas papous;Cohen, Jacqueline
149.0;Bande dessinée jeunesse;1561.0;Lili veut un petit chat;Saint Mars, Dominique de
158.0;Revue pour adulte;1529.0;Système D pratique : pour le bricolage et la maison;
159.0;Bande dessinée jeunesse;1519.0;Lili fait sa commandante;Saint-Mars, Dominique de
167.0;Livre jeunesse;1500.0;Max embête les filles;Saint-Mars, Dominique de
